2014,2014-06-24T13:00:00,Group D,Estadio Mineirao,Belo Horizonte ,Costa Rica,0,0,England, ,57823,0,0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),800,5800,CRC,ENG
2014,2014-06-23T17:00:00,Group A,Arena Pernambuco,Recife ,Croatia,1,3,Mexico, ,41212,0,0,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),797,5797,CRO,MEX
2014,2014-06-23T17:00:00,Group A,Estadio Nacional,Brasilia ,Cameroon,1,4,Brazil, ,69112,1,2,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),798,5798,CMR,BRA
2014,2014-06-23T13:00:00,Group B,Arena da Baixada,Curitiba ,Australia,0,3,Spain, ,39375,0,1,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),795,5795,AUS,ESP
2014,2014-06-23T13:00:00,Group B,Arena de Sao Paulo,Sao Paulo ,Netherlands,2,0,Chile, ,62996,0,0,Bakary GASSAMA (GAM),MENKOUANDE Evarist (CMR),KABANDA Felicien (RWA),796,5796,NED,CHI
2014,2014-06-22T18:00:00,Group G,Arena Amazonia,Manaus ,USA,2,2,Portugal, ,40123,0,1,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),794,5794,USA,POR
2014,2014-06-22T16:00:00,Group H,Estadio Beira-Rio,Porto Alegre ,Korea Republic,2,4,Algeria, ,42732,0,3,ROLDAN Wilmar (COL),DIAZ Eduardo (COL),LESCANO Christian (ECU),793,5793,KOR,ALG
2014,2014-06-22T13:00:00,Group H,Estadio do Maracana,Rio De Janeiro ,Belgium,1,0,Russia, ,73819,0,0,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),792,5792,BEL,RUS
2014,2014-06-21T18:00:00,Group F,Arena Pantanal,Cuiaba ,Nigeria,1,0,"rn"">Bosnia and Herzegovina", ,40499,1,0,Peter O'LEARY (NZL),HINTZ Jan Hendrik (NZL),RULE Mark (NZL),791,5791,NGA,BIH
2014,2014-06-21T16:00:00,Group G,Estadio Castelao,Fortaleza ,Germany,2,2,Ghana,Germany win ,59621,0,0,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),790,5790,GER,GHA
2014,2014-06-21T13:00:00,Group F,Estadio Mineirao,Belo Horizonte ,Argentina,1,0,IR Iran, ,57698,0,0,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),789,5789,ARG,IRN
2014,2014-06-20T19:00:00,Group E,Arena da Baixada,Curitiba ,Honduras,1,2,Ecuador, ,39224,1,1,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),788,5788,HON,ECU
2014,2014-06-20T16:00:00,Group E,Arena Fonte Nova,Salvador ,Switzerland,2,5,France, ,51003,0,3,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),787,5787,SUI,FRA
2014,2014-06-20T13:00:00,Group D,Arena Pernambuco,Recife ,Italy,0,1,Costa Rica, ,40285,0,1,OSSES Enrique (CHI),ASTROZA Carlos (CHI),ROMAN Sergio (CHI),786,5786,ITA,CRC
